ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,ESTRATO,LLAVE_PANEL,CCDD,AREA,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,D341_T,D344,D347_T,D350,D351_T,I339_1,I342,I345_1,I348,INGTOT,INGTOTP,ingtrabw,RESIDENT,Informal_P,FAC300_ANUAL
2024,01,43769,1,0005,1,7,202401437691000511,18,2,1,1,1,2, ,1,90,1,1,16,3,1933,1, , , , , , , , , , , , , , , ,6114,150,2, ,3,2,1,1,0,4,4,4,4,6,6,28, ,28,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,4,5, ,1,2,2,2,1,2,10,7,1, ,13, , , , ,317, , ,330,330,330,1,1,54.9306061049163
2024,01,43769,1,0005,1,7,202401437691000512,18,2,2,2,1,2, ,2,84,2,2,6,7,1939,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,7,2,2,7, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,4, ,1,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1, ,124.336666647416
2024,01,43769,1,0007,1,7,202401437691000711,18,2,1,1,1,2, ,1,52,1,1,8,11,1971,1, , , , , , , , , , , , , , , ,6114,150,2, ,3,2,1,2,5,4,6,6,6,9,4,40, ,40,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,1,5,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, ,319, , , , ,790, , ,1109,1109,1109,1,1,108.459477107116
2024,01,43769,1,0007,1,7,202401437691000712,18,2,2,3,1,2, ,1,19,2,2,1,11,2004,1, , , , , , , , , , , , , , , ,9211,150,4, ,3,2,1,5,0,5,5,5,6,9,8,38, ,38,1, ,2, ,2, , , , , , , , , , , , , , , , , ,2,6,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , , , , , , , , ,0,0,0,1,1,58.8270003755517
2024,01,43769,1,0008,1,7,202401437691000811,18,2,1,1,1,2, ,1,49,1,1,31,1,1974,1, , , , , , , , , , , , , , , ,6114,150,1, ,3,2,1,5,0,8,8,5,8,6,8,43, ,43,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, ,323, , , , ,610, , ,933,933,933,1,1,108.459477107116
2024,01,43769,1,0010,1,7,202401437691001011,18,2,1,1,1,2, ,1,82,1,1,10,2,1941,1, , , , , , , , , , , , , , , ,6111,111,2, ,3,2,1,1,0,6,5,5,9,9,8,42, ,42,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,3,4, ,2,2,2,2,2,2,1,1,1, ,46, , , , ,100, , ,146,146,146,1,1,54.9306061049163
2024,01,43769,1,0051,1,7,202401437691005111,18,2,1,1,1,2, ,1,88,1,1,22,8,1935,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2,2,3, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,3,4, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1, ,54.9306061049163
2024,01,43769,1,0051,1,7,202401437691005112,18,2,2,2,1,2, ,2,86,2,2,2,4,1937,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,7,2,2,7, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,3,4, ,1,2,2,2,1,2,10,7,4, , , , , , , , , , , , ,1, ,61.0802938864182
2024,01,43769,1,0052,1,7,202401437691005211,18,2,1,1,1,2, ,2,54,1,1,8,5,1969,1, , , , , , , , , , , , , , , ,9211,119,3,5,3,2,1,2,0,0,0,9,9,9,0,27,8,35,1, ,2, ,2,2,2,70, , , , , ,220,30, , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,1,5,2, ,2, ,2, ,3,1, ,2,2,2,2,2,2,1,1,1, , , ,30, ,303, , ,220,553,303,553,1,1,61.0802938864182
2024,01,43769,1,0055,1,7,202401437691005511,18,2,1,1,1,2, ,2,89,1,1,2,3,1934,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,7,2,2,7, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1, , ,1,2,2,2,1,2,10,7,4, , , , , , , , , , , , ,1, ,61.0802938864182
